Date,Open,High,Low,Close,Adj Close,Volume
8/1/1991,0.410714,0.495536,0.408482,0.473214,0.385572,4172649600
9/1/1991,0.470982,0.477679,0.415179,0.441964,0.360922,2393070400
10/1/1991,0.439732,0.502232,0.415179,0.459821,0.375505,3593990400
11/1/1991,0.457589,0.493304,0.424107,0.453125,0.370037,3696033600
12/1/1991,0.453125,0.517857,0.433036,0.503348,0.412039,2607169600
1/1/1992,0.497768,0.616071,0.495536,0.578125,0.473251,4703160000
2/1/1992,0.578125,0.625,0.551339,0.602679,0.493351,2534996800
3/1/1992,0.604911,0.611607,0.515625,0.520089,0.426539,2985662400
4/1/1992,0.511161,0.546875,0.473214,0.53683,0.440269,3931390400
5/1/1992,0.535714,0.564732,0.520089,0.533482,0.437523,2703724800
6/1/1992,0.511161,0.53125,0.381696,0.428571,0.351483,4851683200
7/1/1992,0.428571,0.441964,0.388393,0.417411,0.343019,3632809600
8/1/1992,0.417411,0.421875,0.370536,0.410714,0.337515,2746531200
9/1/1992,0.412946,0.446429,0.390625,0.402902,0.331986,3055662400
10/1/1992,0.399554,0.482143,0.370536,0.46875,0.386243,3531427200
11/1/1992,0.46875,0.53125,0.459821,0.513393,0.423029,3126547200
12/1/1992,0.511161,0.546875,0.486607,0.533482,0.440517,3334318400
1/1/1993,0.53125,0.582589,0.511161,0.53125,0.438674,5542264000
2/1/1993,0.529018,0.549107,0.459821,0.473214,0.390751,4651281600
3/1/1993,0.473214,0.515625,0.448661,0.459821,0.38052,3661526400
4/1/1993,0.457589,0.46875,0.417411,0.457589,0.378673,3914411200
5/1/1993,0.457589,0.527902,0.455357,0.50558,0.418388,3200545600
6/1/1993,0.504464,0.520089,0.34375,0.352679,0.292466,7674396800
7/1/1993,0.348214,0.354911,0.227679,0.247768,0.205466,7142912000
8/1/1993,0.252232,0.274554,0.231027,0.236607,0.196211,3683164800
9/1/1993,0.236607,0.241071,0.205357,0.208705,0.173834,3668022400
10/1/1993,0.203125,0.287946,0.196429,0.274554,0.228681,5905323200
11/1/1993,0.274554,0.3125,0.265625,0.28125,0.234259,3452108800
12/1/1993,0.285714,0.290179,0.236607,0.261161,0.218308,3956971200
1/1/1994,0.263393,0.314732,0.256696,0.292411,0.24443,7332035200
2/1/1994,0.294643,0.341518,0.287946,0.325893,0.272418,4284459200
3/1/1994,0.328125,0.34375,0.28125,0.296875,0.249053,5257985600
4/1/1994,0.287946,0.305804,0.241071,0.267857,0.22471,4042136000
5/1/1994,0.267857,0.301339,0.254464,0.261161,0.219092,3361657600
6/1/1994,0.254464,0.25558,0.219866,0.236607,0.199277,4671788800
7/1/1994,0.235491,0.303571,0.226563,0.300781,0.253326,4848065600
8/1/1994,0.300223,0.333705,0.28683,0.323103,0.272127,4574897600
9/1/1994,0.315848,0.332589,0.297991,0.300781,0.254204,3232644800
10/1/1994,0.300223,0.390625,0.290179,0.385603,0.325891,7713484800
11/1/1994,0.382813,0.388253,0.324777,0.332589,0.281086,4048945600
12/1/1994,0.330357,0.356027,0.310268,0.348214,0.295177,3787795200
1/1/1995,0.347098,0.429129,0.33817,0.360491,0.305584,8162100800
2/1/1995,0.363839,0.397321,0.339286,0.352679,0.298962,5299347200
3/1/1995,0.354911,0.363839,0.302455,0.314732,0.267528,6997144000
4/1/1995,0.316964,0.353795,0.300223,0.341518,0.290297,5674300800
5/1/1995,0.341518,0.396205,0.334821,0.371094,0.315437,6384672000
6/1/1995,0.373884,0.447545,0.370536,0.414621,0.353413,5521947200
7/1/1995,0.415179,0.445313,0.383929,0.401786,0.342473,5699579200
8/1/1995,0.40067,0.412946,0.373884,0.383929,0.327252,5292918400
9/1/1995,0.383929,0.40625,0.310268,0.332589,0.284265,7311483200
10/1/1995,0.337054,0.353237,0.300223,0.324219,0.277111,6498508800
11/1/1995,0.327009,0.379464,0.316964,0.340402,0.290943,4864294400
12/1/1995,0.339286,0.358259,0.282366,0.284598,0.244004,6560243200
1/1/1996,0.287946,0.316964,0.239816,0.246652,0.211471,10300214400
2/1/1996,0.245536,0.270089,0.243304,0.245536,0.210514,4652099200
3/1/1996,0.246652,0.246652,0.205357,0.219308,0.188027,3346750400
4/1/1996,0.22433,0.236607,0.212054,0.217634,0.186592,2867076800
5/1/1996,0.217634,0.257813,0.209821,0.233259,0.199988,3603902400
6/1/1996,0.231027,0.232143,0.175223,0.1875,0.160756,4673939200
7/1/1996,0.188616,0.203125,0.142857,0.196429,0.168411,4803489600
8/1/1996,0.196429,0.223214,0.185268,0.216518,0.185635,3187374400
9/1/1996,0.215402,0.219866,0.180804,0.198103,0.169847,3213548800
10/1/1996,0.196429,0.247768,0.196429,0.205357,0.176066,5816977600
11/1/1996,0.208705,0.235491,0.206473,0.215402,0.184678,2581364800
12/1/1996,0.215402,0.227679,0.185268,0.186384,0.159799,4147483200
1/1/1997,0.188616,0.198661,0.147321,0.148438,0.127266,9072739200
2/1/1997,0.15067,0.159598,0.135045,0.145089,0.124394,4574169600
3/1/1997,0.147321,0.172991,0.141741,0.162946,0.139704,4502243200
4/1/1997,0.157366,0.177455,0.149554,0.151786,0.130136,3809724800
5/1/1997,0.15067,0.160714,0.146205,0.148438,0.127266,2292707200
6/1/1997,0.151786,0.152902,0.125,0.127232,0.109084,2572304000
7/1/1997,0.124442,0.16183,0.113839,0.15625,0.133963,6782372800
8/1/1997,0.157366,0.263951,0.156808,0.194196,0.166497,17675705600
9/1/1997,0.196429,0.207589,0.1875,0.193638,0.166018,3606075200
10/1/1997,0.193638,0.220982,0.141741,0.152065,0.130375,6430043200
11/1/1997,0.156808,0.191964,0.15067,0.158482,0.135877,5547483200
12/1/1997,0.157924,0.160156,0.113839,0.117188,0.100473,5097792000
1/1/1998,0.121652,0.178571,0.120536,0.163504,0.140183,10211577600
2/1/1998,0.165179,0.21317,0.155134,0.210938,0.180851,7354166400
3/1/1998,0.210379,0.25,0.19308,0.245536,0.210514,10625977600
4/1/1998,0.244978,0.264509,0.220424,0.24442,0.209557,8081886400
5/1/1998,0.245536,0.282366,0.228795,0.237723,0.203815,6803339200
6/1/1998,0.236607,0.258929,0.228795,0.256138,0.219604,3909841600
